Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Копитко,Прохір,Микитович,Чоловіча,1986-05-30,Гінеколог,село Кам'янець-Подільський,"шосе Золотий берег, буд. 008 кв. 40, Олешки, 44978",+380 17 186-87-35,akymenkotrokhym@example.org
Андрієнко,Олег,Хомович,Чоловіча,1963-03-08,Бібліотекар,хутір Бурштин,"вулиця Лінія 26-та, буд. 97, Великі Мости, 41830",+380 52 770 98 63,sartemenko@example.com
Тихий,Назар,Олексович,Чоловіча,1960-10-27,Педагог,селище Селидове,"узвіз Деревообробний 4-й, буд. 70 кв. 904, Донецьк, 77145",063 257-13-52,volodymyra40@example.org
Христенко,Розалія,Ярославівна,Жіноча,1949-09-13,Живописець,хутір Білгород-Дністровський,"вулиця Дальницька, буд. 985 кв. 414, Ірміно, 90691",+380 96 462 43 86,levkomakohon@example.com
Андріїшина,Еріка,Стефанівна,Жіноча,1960-09-19,Гінеколог,село Кропивницький,"сквер Любомира Гузара, буд. 6, Хорол, 93073",+380 (09) 668-99-14,boryslavshevchenko@example.com
Шутько,Гордій,Олегович,Чоловіча,1959-08-19,Археолог,хутір Хрустальний,"сквер Ольгіївський узвіз, буд. 619 кв. 1, Винники, 31691",020 504-52-55,tchornovil@example.org
Оберемко,Олекса,Трохимович,Чоловіча,2006-08-22,Реставратор,хутір Костопіль,"вулиця Матюшенка, буд. 4, Торецьк, 05178",522-70-47,roksolanamasokha@example.net
Тимченко,Аніта,Вʼячеславівна,Жіноча,1956-11-08,Секретар,місто Соснівка,"узвіз Сергія Параджанова, буд. 97 кв. 7, Буськ, 70470",099 154-99-45,gerushordii@example.net
Теличенко,Емілія,Михайлівна,Жіноча,1941-07-24,Підприємець,селище Бахмач,"узвіз Соборна, буд. 07, Зугрес, 92139",072 878 96 99,sdatsiuk@example.net
Щербак,Анастасія,Амвросійовна,Жіноча,2004-04-02,Єгер,село Шаргород,"шосе Лиманний, буд. 55 кв. 793, Конотоп, 72560",+380 21 626-75-22,ihnat48@example.net
Деряжний,Олег,Богданович,Чоловіча,1982-11-26,Юрист,місто Луганськ,"набережна Об'їзна дорога, буд. 4, Могилів-Подільський, 99905",003 495 30 79,ubabenko@example.org
Редько,Спас,Прохорович,Чоловіча,1977-10-24,Палеонтолог,селище Кипуче,"проспект Михайла Врубеля, буд. 4 кв. 9, Коростень, 43024",+380 88 228 07 75,havrylo65@example.org
Гаврюшенко,Дан,Аркадійович,Чоловіча,1951-01-18,Мінералог,селище Бердянськ,"вулиця Кришталева, буд. 88 кв. 6, Подільськ, 11220",+380 (09) 647-25-09,jkorolenko@example.com
Пʼятаченко,Галина,Спасівна,Жіноча,2003-05-09,Співак,село Монастириська,"провулок Перша, буд. 5 кв. 1, Борзна, 44388",007-89-75,ihnat80@example.net
Супруненко,Трохим,Климентович,Чоловіча,1952-09-05,Інженер,хутір Щолкіне,"площа Санаторний, буд. 55 кв. 783, Дніпро, 54342",+380 77 524 51 78,ielyseiderevianko@example.net
Габелко,Віктор,Романович,Чоловіча,1944-10-19,Мінералог,селище Ходорів,"сквер Запорізька, буд. 885 кв. 8, Яремче, 10412",035 643 94 38,avramenkoliliia@example.org
Прокопович,Павло,Арсенович,Чоловіча,1988-10-13,Режисер,село Рожище,"вулиця Решата Аметова, буд. 247 кв. 37, Зборів, 23327",013 713 04 22,shvachkaiustym@example.net
Зарудна,Данна,Орхипівна,Жіноча,1999-11-22,Математик,село Немирів,"проспект Маковий, буд. 847, Житомир, 96199",605 63 72,fastenkoalevtyn@example.org
Іваничук,Ярослав,Назарович,Чоловіча,1984-07-05,Стоматолог,місто Джанкой,"парк Бориса Едуардса, буд. 07 кв. 482, Косів, 45498",303 30 80,bohodarvobla@example.com
Тарасенко,Олекса,Гордійович,Чоловіча,1953-05-30,Електрослюсар,хутір Славутич,"набережна Госпітальний, буд. 498 кв. 208, Кам'янське, 31812",+380 33 770-03-97,demydsmyk@example.com
Філіпенко,Віктор,Віталійович,Чоловіча,2003-09-06,Економіст,місто Запоріжжя,"провулок Волокидіна, буд. 961 кв. 734, Долина, 39491",+380 80 983 34 13,vladyslavmykhaliuk@example.net
Стельмах,Венедикт,Микитович,Чоловіча,1978-07-29,Науковець,селище Канів,"площа Виноградний, буд. 8, Хрустальний, 68946",+380 (27) 960-86-93,ostap35@example.com
Гузь,Ярослав,Опанасович,Чоловіча,1959-08-27,Історик,село Конотоп,"площа Грушева, буд. 6, Покровськ, 18293",568 48 44,jchornovil@example.net
Голобородько,Соломія,Вʼячеславівна,Жіноча,2006-08-15,Ветеринар,селище Лозова,"провулок Куяльницький міст, буд. 734, Борщів, 55104",+380 84 661-25-46,sbatiuk@example.com
Ващук,Ілля,Назарович,Чоловіча,1994-11-24,Детектив,хутір Збараж,"узвіз Закарпатська, буд. 7 кв. 16, Вознесенськ, 95937",036 549 07 97,mvelychko@example.org
Ващенко-Захарченко,Мирон,Теодорович,Чоловіча,1967-01-12,Фольклорист,село Лебедин,"парк Лиманчик 2-й Лінія 9-та, буд. 0, Жашків, 23472",+380 (45) 401-15-36,shavrysh@example.net
Верменич,Марʼяна,Аврелійовна,Жіноча,1941-03-05,Перекладач,село Буча,"проспект Рєпіна, буд. 8, Марганець, 10364",385-84-62,volodymyr69@example.com
Щорс,Галина,Вікторівна,Жіноча,1984-12-19,Правник,хутір Глиняни,"набережна Проектний 5-й, буд. 7 кв. 92, Рудки, 94520",+380 35 541 09 85,hresorysia@example.com
Байда,Феофан,Антонович,Чоловіча,1992-12-17,Модель,хутір Гребінка,"площа Кафедральна, буд. 79 кв. 289, Молочанськ, 36141",095 648-08-13,gzaiets@example.com
Петренко,Остап,Пантелеймонович,Чоловіча,1981-04-11,Будник,хутір Здолбунів,"проспект Ковиловий, буд. 96 кв. 60, Красилів, 01437",+380 87 254 68 03,tarasfesenko@example.org
Ільченко,Ольга,Амвросійовна,Жіноча,1947-08-17,Музикант,хутір Барвінкове,"сквер Поштовий, буд. 239 кв. 62, Переяслав, 49812",+380 75 291 98 47,zzaiets@example.org
Рябець,Опанас,Венедиктович,Чоловіча,1988-09-20,Кур'єр,селище Золочів,"провулок Флотський 1-й, буд. 1, Семенівка, 46420",+380 19 049 67 65,boryslavdevdiuk@example.org
Малик,Єлисавета,Антонівна,Жіноча,1999-10-10,Модельєр,місто Петрово-Красносілля,"провулок Миколи Костомарова, буд. 4 кв. 61, Стрий, 03940",274 54 71,zynoviiilchenko@example.com
Гук,Михайло,Панасович,Чоловіча,1946-07-16,Науковець,хутір Шпола,"набережна Кощового отамана, буд. 7, Знам'янка, 95659",406-59-55,klyment33@example.org
Цибуленко,Богуслава,Веніяминівна,Жіноча,1992-12-19,Живописець,місто Гірник,"провулок Херсонський сквер, буд. 1 кв. 560, Зоринськ, 65232",+380 60 058-63-35,oleksakhomenko@example.org
Чарниш,Арсен,Іванович,Чоловіча,1996-12-13,Кінорежисер,місто Тисмениця,"парк Тюльпанний, буд. 34, Носівка, 91411",+380 16 456-16-60,levkotsisyk@example.net
Бабич,Соломон,Григорійович,Чоловіча,1941-11-13,Кіноактор,місто Яремче,"вулиця Академіка Сахарова, буд. 801, Нова Каховка, 95311",+380 62 571 62 70,hrytsenkotrokhym@example.org
Артюх,Максим,Кирилович,Чоловіча,2002-03-08,Машиніст,село Дергачі,"проспект Сегедська, буд. 55, Рудки, 49076",+380 44 681 60 58,kdubenko@example.com
Овсієнко,Лесь,Дмитрович,Чоловіча,1993-04-26,Каскадер,місто Алчевськ,"вулиця Шевальових, буд. 12 кв. 249, Сокиряни, 39592",+380 09 804-57-63,tsymbalteodor@example.org
Габелко,Петро,Микитович,Чоловіча,1997-04-05,Перекладач,селище Лиман,"проспект Лазурний 5-й, буд. 797, Новогродівка, 66721",224-73-69,taras62@example.org
Пʼятаченко,Остап,Юхимович,Чоловіча,1990-09-27,Художник,місто Енергодар,"сквер Маячний, буд. 7 кв. 8, Яремче, 30391",519 80 30,sofiiaarkhymovych@example.com
